,Rank,Overall Score,Electoral Process and Pluralism,Functioning of Government,Political Participation,Political Culture,Civil Liberties
Guatemala,82,5.81,7.92,6.07,3.33,4.38,7.35
Bolivia,83,5.79,7,5,5.56,3.75,7.65
Mali,83,5.79,7.83,3.93,4.44,6.25,6.47
Bangladesh,85,5.78,7.42,5.07,5,4.38,7.06
Tanzania,86,5.77,7.42,4.64,5.56,5.63,5.59
Sri Lanka,87,5.69,6.17,5.36,4.44,6.88,5.59
Albania,88,5.67,7,4,5,5,7.35
Malawi,89,5.66,6.58,4.29,5,6.25,6.18
Benin,90,5.65,6.92,5.36,4.44,5.63,5.88
Fiji,91,5.61,4.17,5.71,6.67,5.63,5.88
Ukraine,92,5.42,5.83,3.93,5.56,5,6.76
Thailand,93,5.39,5.33,4.29,5.56,5,6.76
Nicaragua,94,5.32,6.17,3.29,4.44,5.63,7.06
Kyrgyz Republic,95,5.24,6.58,3.29,6.67,4.38,5.29
Uganda,96,5.22,5.67,3.57,4.44,6.25,6.18
Kenya,97,5.13,4.33,4.29,6.11,5.63,5.29
Turkey,98,5.12,6.67,5.36,4.44,5.63,3.53
Lebanon,98,5.12,5.67,2.14,7.22,5,5.59
Venezuela,100,5.07,5.25,4.29,5.56,4.38,5.88
Liberia,101,4.95,7.83,0.79,5.56,5,5.59
Bhutan,102,4.87,8.33,5.36,2.78,4.38,3.53
Bosnia and Hercegovina,103,4.78,6.5,2.93,3.33,4.38,6.76
Cambodia,103,4.78,4.42,6.43,3.33,5.63,4.12
Nepal,105,4.77,3.92,4.29,4.44,5.63,5.59
Palestine,106,4.72,4.75,2.86,7.78,4.38,3.82
Mozambique,107,4.66,4.42,3.57,5.56,5.63,4.12
Pakistan,108,4.64,6,5.36,2.78,3.75,5.29
Sierra Leone,109,4.56,7,1.5,2.78,6.25,5.29
Madagascar,110,4.42,4.25,2.5,5,5.63,4.71
Iraq,111,4.23,4.33,0.79,7.22,4.38,4.41
Mauritania,112,4.17,3.42,4.29,5,3.13,5
Armenia,113,4.13,4.33,2.86,4.44,3.13,5.88
Burkina Faso,114,4.09,4.83,2.86,3.33,5,4.41
Niger,115,4.02,7.08,1.14,2.78,4.38,4.71
Morocco,116,4,3.5,4.29,2.78,5,4.41
Algeria,117,3.83,3,2.21,3.89,5.63,4.41
Haiti,118,3.82,4.75,2.21,2.22,3.13,6.76
Libya,119,3.8,2.25,2.5,3.33,5.63,5.29
Kuwait,120,3.78,3.17,3.93,3.89,4.38,3.53
Jordan,121,3.76,3.17,3.93,4.44,3.75,3.53
Gabon,121,3.76,3,2.21,4.44,5,4.12
Nigeria,121,3.76,5.67,2.86,3.33,3.13,3.82
Ethiopia,124,3.72,0,3.57,5.56,5.63,3.82
Belarus,125,3.69,1.75,3.93,3.89,6.25,2.65
Côte d’Ivoire,126,3.53,0,3.21,5,5.63,3.82
Cuba,127,3.52,1.75,4.64,3.89,4.38,2.94
Comoros,127,3.52,3.92,2.21,3.89,3.75,3.82
Togo,129,3.45,4,0.79,3.33,5,4.12
Vietnam,130,3.41,0,3.93,3.89,6.88,2.35
Cameroon,130,3.41,0.75,3.57,3.89,5,3.82
Russian Federation,132,3.39,3.08,2.86,5,2.5,3.53
Angola,133,3.35,0.92,3.21,5,4.38,3.24
Burundi,134,3.33,2.58,2.21,3.89,5,2.94
Rwanda,135,3.25,0.83,5,2.22,4.38,3.82
Qatar,136,3.18,0,3.93,2.22,5.63,4.12
Kazakhstan,137,3.17,0.5,2.14,4.44,4.38,4.41
Egypt,138,3.16,2.17,2.86,5,3.13,2.65
Oman,139,3.15,0,3.93,3.33,4.38,4.12
Swaziland,140,3.09,0.92,2.86,2.22,5.63,3.82
Myanmar,141,3.05,1.92,2.86,2.78,5.63,2.06
Gambia,141,3.05,1.75,3.93,2.22,5,2.35
Guinea,143,3.01,3.5,0.43,4.44,3.75,2.94
China,144,3,0,4.64,3.89,5,1.47
Djibouti,145,2.99,0.83,2.5,3.33,5.63,2.65
Congo (Brazzaville),146,2.89,1.25,2.86,3.33,3.75,3.24
Bahrain,147,2.87,1.25,3.57,2.78,4.38,2.35
Azerbaijan,148,2.83,0.5,2.14,3.33,3.75,4.41
"Yemen, Rep.",149,2.79,1.33,1.43,5,5,1.18
Zimbabwe,150,2.78,0.5,1.29,3.89,5,3.24
Afghanistan,151,2.77,2.5,1.14,3.89,2.5,3.82
United Arab Emirates,152,2.64,0,3.57,1.67,5,2.94
Sudan,153,2.54,0,1.79,4.44,5,1.47
Uzbekistan,154,2.45,0.08,2.57,2.78,6.25,0.59
Eritrea,155,2.44,0,2.5,1.67,6.88,1.18
Tajikistan,156,2.37,1.83,0.07,2.22,6.25,1.47
Laos,157,2.21,0,3.21,1.67,5,1.18
Iran,158,1.98,0,2.86,2.78,2.5,1.76
Guinea-Bissau,159,1.93,1.67,0,2.78,3.13,2.06
Turkmenistan,160,1.83,0,0.79,2.78,5,0.59
Saudi Arabia,161,1.82,0,2.86,1.67,3.13,1.47
DRC,162,1.75,0.92,0.71,2.22,3.13,1.76
Syria,163,1.74,0,0.36,3.33,5,0
Equatorial  Guinea,164,1.66,0,0.79,1.67,4.38,1.47
Chad,165,1.5,0,0,1.11,3.75,2.65
CAR,166,1.49,0.92,0,1.67,2.5,2.35
"Korea, Dem. People's Rep.",167,1.08,0,2.5,1.67,1.25,0
Norway,1,9.93,10,9.64,10,10,10
Sweden,2,9.73,9.58,9.64,9.44,10,10
Iceland,3,9.58,10,9.29,8.89,10,9.71
New Zealand,4,9.26,10,9.29,8.89,8.13,10
Denmark,5,9.11,9.17,9.29,8.33,9.38,9.41
