Country,Wind_2010,Wind_2011,Wind_2012,Wind_2013,Wind_2014,Wind_2015
Sri Lanka,0.01,0.03,0.08,0.08,0.13,0.13
Sudan,0,0,0,0,0,0
Suriname,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0
Sweden,2.02,2.77,3.61,4.19,5.1,5.84
Switzerland,0.04,0.05,0.05,0.06,0.06,0.06
Syria,0,0,0,0,0,0
Taiwan,0.48,0.52,0.57,0.61,0.64,0.65
Tajikistan,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0
Thailand,0,0.01,0.11,0.19,0.22,0.22
Timor-Leste (East Timor),0,0,0,0,0,0
Togo,0,0,0,0,0,0
Tonga,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0
Tunisia,0.02,0.05,0.1,0.2,0.23,0.25
Turkey,1.32,1.73,2.26,2.76,3.63,4.5
Turkmenistan,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0
Tuvalu,NA,NA,NA,NA,NA,NA
U.S. Pacific Islands,0,0,0,0,0,0
U.S. Territories,NA,NA,NA,NA,NA,NA
Uganda,0,0,0,0,0,0
Ukraine,0.08,0.15,0.28,0.37,0.41,0.51
United Arab Emirates,0,0,0,0,0,0
United Kingdom,5.4,6.47,8.9,11.21,13.04,14.29
United States,39.13,45.68,59.07,59.97,64.23,72.57
Uruguay,0.03,0.04,0.06,0.06,0.53,0.85
Uzbekistan,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0
Venezuela,0,0,0.03,0.03,0.03,0.03
Vietnam,0.03,0.03,0.03,0.05,0.05,0.14
"Virgin Islands,  U.S.",0,0,0,0,0,0
"Virgin Islands, British",0,0,0,0,0,0
Wake Island,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0
"Yemen, Rep.",0,0,0,0,0,0
Zambia,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0
