Country,Onshore wind,Offshore wind,Onshore Wind kW,Offshore Wind kW, Reasonable Wind Capacity
Pakistan,57406,23584,0.057406,0.02358,0.080986
United Arab Emirates,19313,29717,0.019313,0.02972,0.049033
Tunisia,71032,29800,0.071032,0.0298,0.100832
Spain,153185,31280,0.153185,0.03128,0.184465
"Yemen, Rep.",892,31460,0.000892,0.03146,0.032352
Morocco,194256,33320,0.194256,0.03332,0.227576
Finland,149695,35680,0.149695,0.03568,0.185375
Ireland,30855,39380,0.030855,0.03938,0.070235
Colombia,451440,40380,0.45144,0.04038,0.49182
Cuba,39888,43320,0.039888,0.04332,0.083208
Myanmar,28769,43516,0.028769,0.04352,0.072289
Latvia,42876,43540,0.042876,0.04354,0.086416
Trinidad and Tobago,216,43660,0.000216,0.04366,0.043876
Japan,13047,44280,0.013047,0.04428,0.057327
Poland,150803,45920,0.150803,0.04592,0.196723
Jamaica,476,46280,0.000476,0.04628,0.046756
Chile,224881,47660,0.224881,0.04766,0.272541
Romania,126008,50160,0.126008,0.05016,0.176168
"Iran, Islamic Republic of",135593,55014,0.135593,0.05501,0.190603
Philippines,12594,59700,0.012594,0.0597,0.072294
Sri Lanka,29104,60300,0.029104,0.0603,0.089404
"Korea, Republic of",19071,70660,0.019071,0.07066,0.089731
Thailand,22108,72578,0.022108,0.07258,0.094688
India,908002,73580,0.908002,0.07358,0.981582
Malaysia,14192,105407,0.014192,0.10541,0.119602
Chinese Taipei,7467,113800,0.007467,0.1138,0.121267
Germany,124953,124340,0.124953,0.12434,0.249293
Mozambique,101165,125540,0.101165,0.12554,0.226705
New Zealand,121801,152640,0.121801,0.15264,0.274441
Sweden,166972,159960,0.166972,0.15996,0.326932
Norway,195019,168720,0.195019,0.16872,0.363739
France,158342,181140,0.158342,0.18114,0.339482
Venezuela,277579,198080,0.277579,0.19808,0.475659
Honduras,48299,212820,0.048299,0.21282,0.261119
Nicaragua,65048,225340,0.065048,0.22534,0.290388
Denmark,11378,227980,0.011378,0.22798,0.239358
Ukraine,273674,230660,0.273674,0.23066,0.504334
Uruguay,23088,241160,0.023088,0.24116,0.264248
Netherlands,9012,261040,0.009012,0.26104,0.270052
Canada,6884928,368700,6.884928,0.3687,7.253628
Vietnam,2168,476460,0.002168,0.47646,0.478628
Mexico,641302,570740,0.641302,0.57074,1.212042
United States,3496029,628640,3.496029,0.62864,4.124669
United Kingdom,47958,631600,0.047958,0.6316,0.679558
Indonesia,196267,783300,0.196267,0.7833,0.979567
Argentina,789918,808160,0.789918,0.80816,1.598078
China,2019817,1072700,2.019817,1.0727,3.092517
Russian Federation,14341163,1136280,14.341163,1.13628,15.477443
Brazil,1272049,1619920,1.272049,1.61992,2.891969
Australia,4493321,2071360,4.493321,2.07136,6.564681
